stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
콤텍시스템,18년 9월,300,-10,-17,-3.28,-6.22,-42.54,1.07,-0.02
콤텍시스템,18년 12월,499,65,90,12.96,18.10,7.66,0.90,0.13
콤텍시스템,19년 3월,263,-34,-25,-12.82,-9.42,-29.72,0.99,-0.03
콤텍시스템,19년 6월,494,15,18,3.06,3.65,50.14,1.19,0.02
콤텍시스템,19년 9월,714,37,23,5.17,3.28,29.78,0.89,0.03
콤텍시스템,19년 12월,917,12,-6,1.32,-0.67,-155.91,1.08,-0.01
콤텍시스템,20년 3월,372,-34,-32,-9.23,-8.68,-22.37,0.79,-0.03
콤텍시스템,20년 6월,442,-4,6,-0.85,0.62,147.65,0.93,-
쿠쿠홀딩스,15년 9월,1639,189,98,11.51,5.94,270.98,4.57,0.02
쿠쿠홀딩스,15년 12월,1769,182,171,10.27,9.69,131.50,3.72,0.03
쿠쿠홀딩스,16년 3월,1946,275,233,14.12,12.11,84.22,3.21,0.05
쿠쿠홀딩스,16년 6월,1636,223,183,13.65,11.39,77.74,2.25,0.04
쿠쿠홀딩스,16년 9월,1760,238,188,13.54,10.62,74.28,2.13,0.03
쿠쿠홀딩스,16년 12월,1826,218,206,11.94,10.52,61.39,1.86,0.04
쿠쿠홀딩스,17년 3월,1900,272,201,14.34,10.91,64.62,1.94,0.04
쿠쿠홀딩스,17년 6월,1666,153,111,9.17,7.22,128.09,2.08,0.02
쿠쿠홀딩스,17년 9월,1954,234,210,11.97,11.70,59.86,1.77,0.04
쿠쿠홀딩스,17년 12월,-1019,-12,3948,1.18,-389.14,3.12,1.83,0.83
쿠쿠홀딩스,18년 3월,1354,205,304,15.14,22.47,15.09,1.03,0.08
쿠쿠홀딩스,18년 6월,1074,164,308,15.29,28.71,36.05,1.87,0.06
쿠쿠홀딩스,18년 9월,1196,159,176,13.33,14.74,64.96,1.65,0.03
쿠쿠홀딩스,18년 12월,1308,150,57,11.48,4.33,148.77,1.21,0.01
쿠쿠홀딩스,19년 3월,1372,210,253,15.31,18.42,39.55,1.42,0.04
쿠쿠홀딩스,19년 6월,1169,146,154,12.50,13.18,63.69,1.36,0.02
쿠쿠홀딩스,19년 9월,1301,178,224,13.68,17.25,37.09,1.11,0.03
쿠쿠홀딩스,19년 12월,1442,211,163,14.64,11.32,45.75,0.97,0.02
쿠쿠홀딩스,20년 3월,1402,223,241,15.95,17.20,22.01,0.68,0.04
쿠쿠홀딩스,20년 6월,1429,283,353,19.79,24.73,15.86,0.69,0.05
쿠쿠홈시스,17년 12월,303,50,23,16.53,8.01,-,0,-
쿠쿠홈시스,18년 3월,934,172,128,18.40,17.30,60.55,2.19,0.04
쿠쿠홈시스,18년 6월,1000,180,126,18.04,12.97,79.01,2.69,0.03
쿠쿠홈시스,18년 9월,1098,205,82,18.68,7.81,116.47,2.54,0.02
쿠쿠홈시스,18년 12월,1156,118,8,10.20,0.41,"1,057.94",2.14,0
쿠쿠홈시스,19년 3월,1312,321,218,24.44,18.33,40.16,2.24,0.06
쿠쿠홈시스,19년 6월,1781,294,99,16.50,7.88,115.40,2.84,0.02
쿠쿠홈시스,19년 9월,1548,385,181,24.85,15.59,52.06,2.25,0.04
쿠쿠홈시스,19년 12월,1997,207,150,10.37,8.85,64.44,2.23,0.04
쿠쿠홈시스,20년 3월,1657,273,166,16.49,10.32,43.28,1.61,0.04
쿠쿠홈시스,20년 6월,2092,512,268,24.49,16.55,28.14,1.59,0.06
큐로,09년 9월,683,95,31,13.89,4.52,70.91,3.09,0.04
큐로,09년 12월,-,-,-,-,-,-,2.53,-
큐로,10년 3월,-,-,-,-,-,-,-,-
큐로,10년 6월,404,-11,32,-2.62,8,42.73,1.82,0.04
큐로,10년 9월,478,14,8,2.98,1.61,206.80,2,0.01
큐로,10년 12월,-,-,-,-,-,-,2.40,-
큐로,11년 3월,545,-4,18,-0.79,3.39,92.67,1.96,0.02
큐로,11년 6월,786,19,12,2.43,1.54,121.19,1.66,0.01
큐로,11년 9월,525,-175,-67,-33.40,-12.82,-25.81,2.29,-0.08
큐로,11년 12월,672,-110,-171,-16.34,-25.50,-9.04,2.53,-0.25
큐로,12년 3월,608,10,8,1.67,1.39,170.95,2.28,0.01
큐로,12년 6월,806,52,31,6.47,3.79,35.68,1.64,0.05
큐로,12년 9월,687,55,10,8.01,1.41,131.31,1.87,0.01
큐로,12년 12월,729,83,19,11.46,2.68,56.58,1.57,0.03
큐로,13년 3월,489,35,21,7.11,4.24,57.58,1.69,0.03
큐로,13년 6월,582,24,25,4.11,4.27,40.73,1.40,0.03
큐로,13년 9월,603,58,26,9.67,4.23,38.99,1.31,0.03
큐로,13년 12월,725,48,24,6.58,3.36,40.04,1.22,0.03
큐로,15년 9월,555,30,32,5.41,5.79,28.95,1.31,0.05
큐로,15년 12월,644,-65,-85,-10.11,-13.23,-8.53,1.13,-0.13
큐로,16년 3월,463,26,18,5.52,3.91,32.50,0.85,0.03
큐로,16년 6월,488,4,6,0.75,1.22,131.48,1,0.01
큐로,16년 9월,480,-42,-89,-8.72,-18.55,-10.89,1.39,-0.12
큐로,16년 12월,482,-102,-128,-21.24,-26.57,-6.12,1.38,-0.20
큐로,17년 3월,522,58,-25,11.09,-4.72,-23.72,0.99,-0.04
큐로,17년 6월,418,-18,6,-4.19,1.38,120.21,1.04,0.01
큐로,17년 9월,365,25,24,6.94,6.54,21.05,0.73,0.04
큐로,17년 12월,256,2,-76,0.64,-29.53,-8.03,0.94,-0.10
큐로,18년 3월,207,-22,-128,-10.84,-62.05,-11.03,2.06,-0.17
큐로,18년 6월,241,-10,60,-4.17,25,18.69,1.43,0.08
큐로,18년 9월,223,-28,-14,-12.74,-6.36,-62.80,1.15,-0.02
