title,startDate,endDate,raw,scale
SK케미칼,2020.11.24,2020.12.04,"[12, 10, 9, 47, 3, 5, 10, 10, 11, 29, 10]","[0.20454545454545456, 0.1590909090909091, 0.13636363636363635, 1.0, 0.0, 0.045454545454545456, 0.1590909090909091, 0.1590909090909091, 0.18181818181818182, 0.5909090909090909, 0.1590909090909091]"
SK하이닉스,2020.11.24,2020.12.04,"[23, 23, 16, 30, 4, 29, 24, 27, 59, 130, 76]","[0.15079365079365079, 0.15079365079365079, 0.09523809523809523, 0.20634920634920634, 0.0, 0.1984126984126984, 0.15873015873015872, 0.18253968253968253, 0.4365079365079365, 1.0, 0.5714285714285714]"
SPC삼립,2020.11.24,2020.12.04,"[5, 15, 5, 1, 0, 1, 3, 1, 0, 0, 17]","[0.29411764705882354, 0.8823529411764706, 0.29411764705882354, 0.058823529411764705, 0.0, 0.058823529411764705, 0.17647058823529413, 0.058823529411764705, 0.0, 0.0, 1.0]"
STX,2020.11.24,2020.12.04,"[2, 2, 3, 8, 1, 1, 2, 5, 4, 0, 0]","[0.25, 0.25, 0.375, 1.0, 0.125, 0.125, 0.25, 0.625, 0.5, 0.0, 0.0]"
TCC스틸,2020.11.24,2020.12.04,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
STX중공업,2020.11.24,2020.12.04,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
가온전선,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
강원랜드,2020.11.24,2020.12.04,"[5, 5, 3, 2, 0, 6, 3, 2, 2, 12, 25]","[0.2, 0.2, 0.12, 0.08, 0.0, 0.24, 0.12, 0.08, 0.08, 0.48, 1.0]"
강남제비스코,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
경농,2020.11.24,2020.12.04,"[2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
경동나비엔,2020.11.24,2020.12.04,"[23, 0, 0, 5, 0, 1, 2, 1, 0, 0, 1]","[1.0, 0.0, 0.0, 0.21739130434782608, 0.0, 0.043478260869565216, 0.08695652173913043, 0.043478260869565216, 0.0, 0.0, 0.043478260869565216]"
경동도시가스,2020.11.24,2020.12.04,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
경방,2020.11.24,2020.12.04,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
경보제약,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8888888888888888, 1.0, 0.0, 0.8888888888888888]"
